Original Location,New Location,Site,Name,Side,Street,Direction,Cross Street 1,Cross Street 2,Approval Agency,Map Link,Streetview Link,Site Photo?,Comments,Take forward to Crowdsourcing?
373,41,A,W 7th St & S Bixel St,N,W 7th Street,W,S Bixel Street,Lucas Avenue,LADOT,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.kC7ifSd1mgvk,"https://www.google.com/maps/@34.0509488,-118.2644119,3a,75y,343.98h,63t/data=!3m6!1e1!3m4!1sKXTPs1AjlML9Hubpxn4aXA!2e0!7i13312!8i6656",,,Yes
374,42,A,E 9th St & S Main St,S,W 9th Street,W,S Main Street,S Broadway,LADOT,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.kfM72rntlekU,"https://www.google.com/maps/@34.0419501,-118.2554924,3a,75y,164h,66.25t/data=!3m6!1e1!3m4!1sqwAYbdMx37xr4bDESUDIPA!2e0!7i13312!8i6656",,,Yes
374,42,B,S Main St & E 9th St,W,S Main Street,S,E 9th Street,E Olympic Boulevard,LADOT,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.kfM72rntlekU,"https://www.google.com/maps/@34.0409867,-118.2559383,3a,75y,96.67h,80.14t/data=!3m6!1e1!3m4!1ssnACDR48DR9lolE1s_j4eA!2e0!7i13312!8i6656",,Two parking spaces plus some red curb towards crosswalk; check sidewalk width to see if station can be on sidewalk,Yes
375,43,A,S Olive St & W 8th St,W,S Olive Street,S,W 8th Street,W 9th Street,LABOE,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.k24pwBwy3ga0,"https://www.google.com/maps/@34.0451171,-118.2569125,3a,75y,248.13h,70.01t/data=!3m6!1e1!3m4!1sTcD35ULop2IrUMPFA1ppxg!2e0!7i13312!8i6656",,The lot next to the site is under construction. ,"Yes, field check for post-construction conditions"
376,44,B,S Grand Ave & W 11th St,W,S Grand Avenue,S,W 11th Street,W 12th Street,LADOT,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.kV-ANc_LNLSQ,"https://www.google.com/maps/@34.0413995,-118.2620793,3a,75y,269.47h,64.04t/data=!3m7!1e1!3m5!1sCqTY0WPndfcd5LMGNYG5CA!2e0!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3DCqTY0WPndfcd5LMGNYG5CA%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D100%26h%3D80%26yaw%3D296.48682%26pitch%3D0!7i13312!8i6656",Yes,,"Yes, located next to bike lane"
377,45,E,S Olive St & W 12th St,E,S Olive Street,S,W 12th Street,W Pico Boulevard,LADOT,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.kwwAnpeCBYPE,"https://www.google.com/maps/@34.0391278,-118.2625106,3a,75y,137.76h,55.58t/data=!3m6!1e1!3m4!1spd_87NL0CzvR_cR56bsLRQ!2e0!7i13312!8i6656",,Two spaces plus some red curb,Yes
378,46,A,S Figueroa St & W 8th St,W,S Figueroa Street,N,W 8th Street,W 7th Street,LADOT,https://www.google.com/maps/d/u/0/edit?mid=zOHpquqdH9vM.km_fttLuzWZE,"https://www.google.com/maps/@34.0480705,-118.2611194,3a,37.5y,346.31h,81.84t/data=!3m6!1e1!3m4!1sJopQlNTSZPAbw2nE-ECm5g!2e0!7i13312!8i6656",,Potential FDC,"Yes, place in first two parking spaces"
379,47,A,S Figueroa St & W 9th St,,,,,,,,Show at the intersection,,,Yes - but place at the intersection and leave general
380,48,A,S Figueroa St & W 12th St,,,,,,,,Show at the intersection,,Existing plaza will be torn up for LACC redesign. Proximity to 16 and 17 - consider removing,Yes - but place at the intersection and leave general
382,50,C,E 7th St & S Main St,S,E 7th Street,E,S Main Street,S Los Angeles Street,LADOT,https://www.google.com/maps/d/u/0/edit?mid=zOHpquqdH9vM.kJ-MrikhutYk,"https://www.google.com/maps/@34.0435601,-118.2508356,3a,75y,275.64h,53.44t/data=!3m6!1e1!3m4!1sedd6TmjZB3Oh16opU9FXXQ!2e0!7i13312!8i6656",,,Yes
