Original Location,New Location,Site,Name,Side,Street,Direction,Cross Street 1,Cross Street 2,Approval Agency,Map Link,Streetview Link,Site Photo?,Comments,Take forward to Crowdsourcing?
333,1,B,"N Grand Ave & 
W Temple St",E,N Grand Avenue,N,W Temple Street,W Cesar Chavez Avenue,LABOE,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.kCKhYqM3Z834,"https://www.google.com/maps/@34.058262,-118.2463422,3a,75y,93.21h,81.22t/data=!3m6!1e1!3m4!1snd3r-JQj1xXZ8BuXm4z0VQ!2e0!7i13312!8i6656",Yes,Along wall,Yes
,2,A,N Figueroa St & Diamond St,W,N Figueroa Street,N,Diamond Street,W Temple Street,LABOE,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.kfGpZu4iuxmw,"https://www.google.com/maps/@34.0585622,-118.2511063,3a,75y,306.88h,64.21t/data=!3m6!1e1!3m4!1sANHdsPG51ic_Nf7BlXCUAA!2e0!7i13312!8i6656",Yes,,Yes
335,3,C,Union Station West Portal,E,N Alameda Street,N,N Los Angeles Street,E Cesar Chavez Avenue,LA Metro,"https://www.google.com/maps/@34.0569359,-118.2366928,3a,75y,330.12h,86.22t/data=!3m6!1e1!3m4!1sVRuFb3IoSjpeL99Iogx7Ow!2e0!7i13312!8i6656","https://www.google.com/maps/@34.0569359,-118.2366928,3a,75y,330.12h,86.22t/data=!3m6!1e1!3m4!1sVRuFb3IoSjpeL99Iogx7Ow!2e0!7i13312!8i6656",Yes,"Metro property - requires license agreement

Metro to provide concrete pad in rose garden area + 2 additional adjacent parking spaces",Yes
336,4,A,N Los Angeles St & N Alameda Street,W,N Los Angeles Street,S,N Alameda Street,Arcadia Street,LADOT,"https://www.google.com/maps/@34.0559482,-118.2386053,3a,75y,261.77h,72.98t/data=!3m6!1e1!3m4!1sTUHDYMtE6MDIFjHENcY9jA!2e0!7i13312!8i6656","https://www.google.com/maps/@34.0559482,-118.2386053,3a,75y,261.77h,72.98t/data=!3m6!1e1!3m4!1sTUHDYMtE6MDIFjHENcY9jA!2e0!7i13312!8i6656",,,Yes
337,5,A,E Temple St & N Alameda St,S,E Temple Street,W,N Alameda Street,Judge John Aiso Street,LADOT,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.kOrV9qbuUIVo,"https://www.google.com/maps/@34.0513792,-118.238389,3a,37.5y,194.94h,81.27t/data=!3m6!1e1!3m4!1snMxl59wAMFfQItBCxhyRfw!2e0!7i13312!8i6656",,Heavy shade cover from trees - limited alternatives nearby. Space may be tight; measure carefully.,Yes - Heavy shade cover - look for another site in the field
338,6,B,N Main St & W Temple St,W,N Main Street,S,W Temple Street,W 1st Street,LABOE,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.kPRkIfAtataI,"https://www.google.com/maps/@34.0539249,-118.2418017,3a,75y,307.46h,75.43t/data=!3m7!1e1!3m5!1sn7kxRwaNl8FDI-mle2qG-w!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3Dn7kxRwaNl8FDI-mle2qG-w%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D100%26h%3D80%26yaw%3D48.106102%26pitch%3D0!7i13312!8i6656",,Site is only about 40' long,Yes
339,7,A,S Spring St & W 1st St,W,S Spring Street,S,W 1st Street,W 2nd Street,LADOT,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.k9f9nGsJGhr4,"https://www.google.com/maps/@34.0525353,-118.244836,3a,75y,282.89h,70.19t/data=!3m6!1e1!3m4!1s9KuzzLDwnXhMwODJKSD7tA!2e0!7i13312!8i6656",,Proximity to site 35?,Yes
339,7,B,W 1st St & S Main St,S,W 1st Street,W,S Main Street,S Spring Street,LABOE,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.k9f9nGsJGhr4,"https://www.google.com/maps/@34.0525376,-118.2438491,3a,37.5y,189.97h,83.68t/data=!3m6!1e1!3m4!1sRH9FI-KFIKOIJTGEO9fygQ!2e0!7i13312!8i6656",,Proximity to site 35? In front of LAPD building,Yes - preferred site (curbside); may have to relocate bike racks
340,8,A,S Grand Ave & W 1st St,W,S Grand Avenue,S,W 1st Street,W 2nd Street,LABOE,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.kgXLLTWn6gqk,"https://www.google.com/maps/@34.0553815,-118.2489832,3a,49y,309.87h,86.3t/data=!3m7!1e1!3m5!1sDIEJwIUjn09F0m6_Z3hNjw!2e0!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3DDIEJwIUjn09F0m6_Z3hNjw%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D100%26h%3D80%26yaw%3D87.0711%26pitch%3D0!7i13312!8i6656",Yes,Will need significant outreach,Yes - site will need significant outreach
341,9,B,W Temple St & N Hill St,N,W Temple Street,W,N Hill Street,N Grand Avenue,LABOE,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.kNwvpIhKm51o,"https://www.google.com/maps/@34.0571687,-118.2452862,3a,37.5y,33.61h,82.37t/data=!3m6!1e1!3m4!1s0M1WNcvDB6nDQy3EE-CX6Q!2e0!7i13312!8i6656",,Proximity to Site 1,Yes - could be sidewalk on on-street in place of parking
,10,B,Hill St at Metro Station/Grand Park,E,N Hill Street,N,W 1st Street,W Temple Street,LA Metro,"https://www.google.com/maps/@34.0552539,-118.2457391,3a,75y,150.17h,83.89t/data=!3m6!1e1!3m4!1sxm36fZ-EuVfM3qlvAl4SZg!2e0!7i13312!8i6656","https://www.google.com/maps/@34.0552539,-118.2457391,3a,75y,150.17h,83.89t/data=!3m6!1e1!3m4!1sxm36fZ-EuVfM3qlvAl4SZg!2e0!7i13312!8i6656",Yes,At Metro Station - will need license agreement; Requires approval by and coordination with Grand Park,Yes
343,11,A,S Olive St & W 6th St,E,S Olive Street,N,W 6th Street,W 5th Street,LABOE,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.kquPfJByWEbE,"https://www.google.com/maps/@34.0480822,-118.2541482,3a,37.5y,109.23h,83.67t/data=!3m6!1e1!3m4!1sO-1AIqlXGwEhZB6OEv4Qzw!2e0!7i13312!8i6656",Yes,Station is small as per architect's sketches. Contact Rubina for details.,Yes
344,12,A,S Hill St & W 5th St,W,S Hill Street,S,W 5th Street,W 6th Street,LABOE,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.kCpa6LVXhYZM,"https://www.google.com/maps/@34.0486272,-118.2519362,3a,48.4y,299.35h,84.55t/data=!3m6!1e1!3m4!1s1vTu2vW_l873ZnDxrgNncg!2e0!7i13312!8i6656",Yes,On top of stairs (ramp access to the street). Station is small as per architect's sketches. Contact Rubina for details.,Yes
345,13,A,W 5th St & S Grand Ave,S,W 5th Street,W,S Grand Avenue,S Flower Street,LABOE,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.kd9RGyqytQD8,"https://www.google.com/maps/@34.0506014,-118.2545645,3a,41.2y,221.42h,78.82t/data=!3m6!1e1!3m4!1sqFsrZ4j6n7ASeNL0mpAJJQ!2e0!7i13312!8i6656",Yes,FDC,Yes
346,14,A,W 7th St & S Flower St,S,W 7th Street,W,S Flower Street,S Figueroa Street,LADOT,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.kkGaMhN3gqaA,"https://www.google.com/maps/@34.0490721,-118.2593767,3a,75y,209h,73.52t/data=!3m6!1e1!3m4!1s9vTtUBh6y4eVxrxw0E3z-A!2e0!7i13312!8i6656",,Avoid manhole cover,Yes
346,14,B,S Flower and W 7th St,W,S Flower Street,S,W 7th Street,W 8th Street,LADOT,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.kkGaMhN3gqaA,"https://www.google.com/maps/@34.0485075,-118.2589275,3a,90y,275.14h,65.85t/data=!3m6!1e1!3m4!1s8IVCf8rJnYghNrIBjs11XA!2e0!7i13312!8i6656",,Better spacing than 14A; peak hour restriction (check if this is a peak hour travel lane); Metro subway emergency exit,Yes
347,15,B,S Grand Ave & W 9th St,W,S Grand Avenue,S,W 9th Street,W Olympic Boulevard,LADOT,,"https://www.google.com/maps/@34.0442997,-118.25941,3a,75y,275.21h,71.41t/data=!3m6!1e1!3m4!1sNvTN3-hFoOa1MYLrH6fiqg!2e0!7i13312!8i6656",,,Yes
348,16,B,S Figueroa St & W 11th St,,,,,,,,Show at the intersection,,Coordinate with LACC for possible siting at this location.,"Yes - but show at nearest intersection as a ""general"" location (private property owner - will depend on sponsorships and use of property)"
349,17,F,W Pico Blvd & S Figueroa St,S,W Pico Boulevard,W,S Figueroa Street,L.A. Live Way,LABOE,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.kHfyigDPHTNI,"https://www.google.com/maps/@34.0408237,-118.2685463,3a,75y,259.2h,66.47t/data=!3m6!1e1!3m4!1sFYEfAb-6JHhtIpBbS7o_Fg!2e0!7i13312!8i6656",Yes,Coordinate with LACC.,Yes - use sidewalk location for crowdsourcing map
350,18,C,W 12th St & S Hill St,N,W 12th Street,E,S Hill Street,S Broadway,LADOT,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.kd1WHxb5CZEU,"https://www.google.com/maps/@34.038481,-118.2607736,3a,75y,344.6h,66.89t/data=!3m6!1e1!3m4!1sa09bzkueRWJIx9tIi6dF_Q!2e0!7i13312!8i6656",Yes,Avoids peak parking restriction; on 12th St.,Yes - place closer to Public Works entry - better solar and further from intersection; potential to be three parking spaces (might be interim site during construction of B)
351,19,A,S Grand Ave & W Washington Blvd,E,S Grand Avenue,N,W Washington Boulevard,W 18th Street,LABOE,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.kPMRWp_oN9dA,"https://www.google.com/maps/@34.0329221,-118.2681604,3a,49y,115.93h,87.48t/data=!3m7!1e1!3m5!1sIf7tHistPfLnq4MkHapo5w!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3DIf7tHistPfLnq4MkHapo5w%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D100%26h%3D80%26yaw%3D174.53946%26pitch%3D0!7i13312!8i6656",Yes,South of I-10 - may move into 2nd phase,Yes
355,23,E,S Hope St & W Pico Blvd,E,S Hope Street,S,W Pico Boulevard,Cameron Lane,LADOT,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.kQILORwtIyCM,"https://www.google.com/maps/@34.0392842,-118.265817,3a,75y,83.49h,59.47t/data=!3m6!1e1!3m4!1sbDhvPHeXcGJ8x3_lOQ6GRw!2e0!7i13312!8i6656",,Small station only,Field work needed to verify length of site
356,24,C,E 5th St & S Hewitt St,S,E 5th Street,W,S Hewitt Street,Colyton Street,LADOT,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.kMUL6oeRbhbc,"https://www.google.com/maps/@34.041745,-118.2355417,3a,75y,126.03h,63.35t/data=!3m6!1e1!3m4!1sB9grsV3IHMHf2XJFXJpMKA!2e0!7i13312!8i6656",Yes,No curb,Yes
357,25,A,E 3rd St & S Hewitt St,S,E 3rd Street,E,S Hewitt Street,S Garey Street,LADOT,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.kdHYMp4H1LGM,"https://www.google.com/maps/@34.0458298,-118.2357686,3a,75y,154.61h,68.45t/data=!3m6!1e1!3m4!1slJn0r7z5RzoyUkSxH3fNRw!2e0!7i13312!8i6656",Yes,Bike lane,Yes
357,25,D,E 3rd St & Rose St,S,E 3rd Street,O,Rose Street,,LADOT,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.kdHYMp4H1LGM,"https://www.google.com/maps/@34.0456295,-118.2372142,3a,75y,135.02h,78.09t/data=!3m6!1e1!3m4!1sNTnN0MazwnA05-mIwdeCVQ!2e0!7i13312!8i6656",Yes,,"Yes - stay out of loading zone; either side of street, near corral or south of loading zone"
358,26,A,E 3rd St & S Santa Fe Ave,N,E 3rd Street,W,S Santa Fe Avenue,S Garey Street,LADOT,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.kxtJYf2lpb-0,"https://www.google.com/maps/@34.0459684,-118.2329888,3a,75y,9.19h,74.28t/data=!3m6!1e1!3m4!1sUnW2eEmuYLGxILUh3Kfbkw!2e0!7i13312!8i6656",Yes,,Yes
360,28,A,S San Pedro St & E 1st St,W,S San Pedro Street,S,E 1st Street,E 2nd Street,LABOE,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.k4G82pDNQEuc,"https://www.google.com/maps/@34.0504746,-118.2409914,3a,37.5y,219.44h,83.44t/data=!3m6!1e1!3m4!1sL2h6Qmd8YRN30FyMRfj2Xg!2e0!7i13312!8i6656",Yes,To be moved to 1st/Central to avoid station closure expected Winter 2017,Yes
